0     DEBUG [main] org.scriptinsight.util.Props - Props: envPropFileName : null
0     DEBUG [main] org.scriptinsight.util.Props - Props: Using default env file: /props/env/dev/scriptinsight.properties
0     DEBUG [main] org.scriptinsight.util.Props - Props: Request for property [ProxyServerPort=2554]
0     DEBUG [main] org.scriptinsight.util.Props - Props: Request for property [TaskPoolSize=5]
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
11062 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:03 GMT
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/html/util.js isRepeatable=[false], isStreaming=[true]
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/html/util.js]
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
11094 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:03 GMT
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/lfx/toggle.js isRepeatable=[false], isStreaming=[true]
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/lfx/toggle.js]
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
11109 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:03 GMT
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/html/selection.js isRepeatable=[false], isStreaming=[true]
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/html/selection.js]
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: text/javascript
11140 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:03 GMT
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/images/splash.gif]
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                ETag: W/"36097-1240293441109"
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Tue, 21 Apr 2009 05:57:21 GMT
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: image/gif
11172 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:03 GMT
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/images/ad-sdk.jpg]
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                ETag: W/"245260-1240293440812"
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Tue, 21 Apr 2009 05:57:20 GMT
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: image/jpeg;charset=ISO-8859-1
11219 INFO  [pool-1-thread-4] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:03 GMT
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/images/ad-netbeans.jpg]
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                ETag: W/"2340-1240293440812"
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Tue, 21 Apr 2009 05:57:20 GMT
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: image/jpeg;charset=ISO-8859-1
11250 INFO  [pool-1-thread-5] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:03 GMT
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/images/ad-jre.jpg]
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                ETag: W/"2428-1240293440812"
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Tue, 21 Apr 2009 05:57:20 GMT
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: image/jpeg;charset=ISO-8859-1
11265 INFO  [pool-1-thread-1] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:03 GMT
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/templates/images/tab_close.gif]
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Keep-Alive: 300
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Referer: http://gaotop:8080/petstore/faces/index.jsp
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Cookie: JSESSIONID=35af514a0b130008c819be1206c4
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler - >>               Response Headers: 
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: Servlet/2.5
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Server: Sun GlassFish Enterprise Server v2.1
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                X-Powered-By: JSF/1.2
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 12 Jun 2009 06:23:22 GMT
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Content-Type: image/gif
11297 INFO  [pool-1-thread-2] org.scriptinsight.proxy.ProxyHandler -                                Date: Fri, 12 Jun 2009 07:25:03 GMT
11297 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >> Request [http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/src/widget/templates/FisheyeList.css]
11297 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
11297 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
11297 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler - >>               Request Headers: 
11297 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Host: gaotop:8080
11297 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10
11297 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
11297 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
11297 INFO  [pool-1-thread-3] org.scriptinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
