0     DEBUG [main] org.fireinsight.util.Props - Props: envPropFileName : null
0     DEBUG [main] org.fireinsight.util.Props - Props: Using default env file: /props/env/dev/scriptinsight.properties
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [IgnoreList=http://gaotop:8080/petstore/faces/static/META-INF/dojo/bpcatalog/dojo.js]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [ProxyServerPort=2554]
16    DEBUG [main] org.fireinsight.util.Props - Props: Request for property [TaskPoolSize=20]
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Referer: http://i.cdn.turner.com/cnn/.element/css/3.0/personalization.css
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:33:21 GMT
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 09:25:39 GMT
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 23 Oct 2009 20:10:05 GMT
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=3600
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Content-Type: image/jpeg
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1442000 INFO  [pool-1-thread-15] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler - >> Request [http://i.cdn.turner.com/cnn/.element/img/3.0/personalization/Red_market_status.gif]
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                               Host: i.cdn.turner.com
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                               Referer: http://i.cdn.turner.com/cnn/.element/css/3.0/personalization.css
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:33:22 GMT
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 09:32:29 GMT
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 23 Oct 2009 20:10:05 GMT
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=3600
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                                Content-Type: image/gif
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1442094 INFO  [pool-1-thread-20] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - >> Request [http://i.cdn.turner.com/cnn/.element/img/3.0/personalization/hp_market_sprite.gif]
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Host: i.cdn.turner.com
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Referer: http://i.cdn.turner.com/cnn/.element/css/3.0/personalization.css
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:33:22 GMT
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 09:10:26 GMT
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 23 Oct 2009 20:10:04 GMT
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=3600
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Content-Type: image/gif
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1442141 INFO  [pool-1-thread-6] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - >> Request [http://i.cdn.turner.com/cnn/.element/img/3.0/personalization/arrow_down.gif]
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Host: i.cdn.turner.com
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Referer: http://i.cdn.turner.com/cnn/.element/css/3.0/personalization.css
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:33:22 GMT
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 09:28:36 GMT
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 23 Oct 2009 20:10:03 GMT
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=3600
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Content-Type: image/gif
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1442563 INFO  [pool-1-thread-1] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - >> Request [http://www.cnn.com/favicon.ico]
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Host: www.cnn.com
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Cookie: op203homepagegum4=mvt-no; switchEdition=false; s_sess=%20s_cc%3Dtrue%3B%20s_sq%3D%3B; rsi_segs_ttn=A09801_10001; adDEmas=R00&hi&shawcable.net&73&can&-1&0&56&-&-&-&1836&; adDEon=true; CNNid=629d4f47-27745-1265877200-685
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:33:24 GMT
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Wed, 28 Oct 2009 14:26:23 GMT
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=60
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 08:33:55 GMT
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Content-Type: image/x-icon
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                X-Pad: avoid browser bug
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Keep-Alive: timeout=2, max=10
1442953 INFO  [pool-1-thread-2] org.fireinsight.proxy.ProxyHandler -                                Connection: Keep-Alive
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - >> Request [http://svcs.cnn.com/weather/getForecast?time=16&mode=json_html&zipCode=87901&locCode=NM12&celcius=false&csiID=csi2]
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Host: svcs.cnn.com
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Referer: http://www.cnn.com/
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Cookie: op203homepagegum4=mvt-no; switchEdition=false; s_sess=%20s_cc%3Dtrue%3B%20s_sq%3D%3B; rsi_segs_ttn=A09801_10001; adDEmas=R00&hi&shawcable.net&73&can&-1&0&56&-&-&-&1836&; adDEon=true; CNNid=629d4f47-27745-1265877200-685
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:33:25 GMT
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Server: Sun-ONE-Web-Server/6.1
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Content-type: text/html
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                P3P: CP="NOI DEVa TAIa OUR BUS UNI"
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=900
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 08:48:25 GMT
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Vary: User-Agent,Accept-Encoding
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Content-Encoding: gzip
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Keep-Alive: timeout=5, max=64
1443375 INFO  [pool-1-thread-4] org.fireinsight.proxy.ProxyHandler -                                Connection: Keep-Alive
1443906 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >> JAVASCRIPT: http://i.cnn.net/cnn/.element/js/2.0/csi_include.js isRepeatable=[false], isStreaming=[false]
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >> Request [http://i.cnn.net/cnn/.element/js/2.0/csi_include.js]
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Host: i.cnn.net
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept: */*
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Referer: http://svcs.cnn.com/weather/getForecast?time=16&mode=json_html&zipCode=87901&locCode=NM12&celcius=false&csiID=csi2
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:33:25 GMT
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Wed, 21 Oct 2009 18:54:36 GMT
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=3600
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 08:37:35 GMT
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Content-Type: application/x-javascript
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Keep-Alive: timeout=5, max=64
1443922 INFO  [pool-1-thread-9] org.fireinsight.proxy.ProxyHandler -                                Connection: Keep-Alive
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - >> Request [http://i.cdn.turner.com/cnn/images/1.gif?csiTestMatch=true]
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Host: i.cdn.turner.com
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Referer: http://svcs.cnn.com/weather/getForecast?time=16&mode=json_html&zipCode=87901&locCode=NM12&celcius=false&csiID=csi2
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:33:24 GMT
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Expires: Sun, 02 Feb 2020 06:14:36 GMT
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 20 Apr 2007 13:13:15 GMT
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=315360000
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Content-Type: image/gif
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1444891 INFO  [pool-1-thread-12] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >> Request [http://i.cdn.turner.com/cnn/.element/img/3.0/weather/03/07.png]
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Host: i.cdn.turner.com
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept: image/png,image/*;q=0.8,*/*;q=0.5
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Proxy-Connection: keep-alive
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Referer: http://www.cnn.com/
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                               Connection: Keep-Alive
1444969 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler - >>               Response Headers: 
1444985 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Date: Thu, 11 Feb 2010 08:33:24 GMT
1444985 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Expires: Thu, 11 Feb 2010 09:29:14 GMT
1444985 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Last-Modified: Fri, 23 Oct 2009 20:09:44 GMT
1444985 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Cache-Control: max-age=3600
1444985 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Content-Type: image/png
1444985 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Accept-Ranges: bytes
1444985 INFO  [pool-1-thread-10] org.fireinsight.proxy.ProxyHandler -                                Server: Apache
1448110 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler - >> Request [http://www.cnn.com/favicon.ico]
1448110 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler - <<         Response: HTTP/1.1 200 OK
1448110 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler - <<         Response: HttpEntity Type: org.apache.http.entity.BasicHttpEntity
1448110 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler - >>               Request Headers: 
1448110 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Host: www.cnn.com
1448110 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               User-Agent: Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.9.0.15) Gecko/2009101601 Firefox/3.0.15 (.NET CLR 3.5.30729)
1448110 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Accept: text/html,application/xhtml+xml,application/xml;q=0.9,*/*;q=0.8
1448110 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Accept-Language: en-us,en;q=0.5
1448110 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Accept-Encoding: gzip,deflate
1448110 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Accept-Charset: ISO-8859-1,utf-8;q=0.7,*;q=0.7
1448110 INFO  [pool-1-thread-19] org.fireinsight.proxy.ProxyHandler -                               Keep-Alive: 300
